"","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5"
"61617",5,4,3,4,4,2,3,3,3,3,4,4,3,4,4,4,3,5,5,4,3,1,3,4,4
"61618",5,4,5,2,5,5,4,4,4,3,6,6,6,4,3,4,4,4,2,2,4,5,4,3,4
"61620",2,4,5,4,4,4,5,4,5,2,5,3,4,4,5,3,2,3,5,4,4,5,5,5,5
"61621",3,4,6,5,5,4,4,3,2,2,2,4,4,4,4,5,2,5,3,6,3,4,4,3,2
"61622",5,3,3,4,5,4,4,5,4,5,5,5,5,4,5,5,4,3,3,4,3,4,4,3,4
"61623",1,6,5,6,5,6,6,6,6,4,5,6,6,5,6,4,2,5,5,4,4,4,5,6,6
"61624",5,5,5,3,5,5,4,4,5,4,3,4,4,5,5,6,5,5,6,6,5,5,5,6,6
"61629",3,3,1,5,1,3,2,4,5,3,4,1,4,2,1,1,4,5,1,3,3,5,4,5,4
"61630",3,3,6,3,3,6,6,3,3,2,2,4,NA,4,3,2,2,5,4,4,6,1,6,6,6
"61633",5,5,6,6,5,6,5,6,5,6,5,5,4,5,5,2,2,2,5,3,5,6,5,5,5
"61634",3,4,5,6,5,4,3,5,4,5,6,4,2,5,4,4,4,3,5,4,5,4,5,6,4
"61636",5,5,5,5,5,5,4,5,3,2,4,4,4,5,4,3,2,4,5,NA,4,1,4,5,3
"61637",2,5,5,6,4,5,4,3,5,5,4,4,3,2,4,6,5,5,5,5,4,5,4,5,5
"61639",2,5,5,6,6,4,4,4,5,6,5,5,4,6,5,6,6,6,5,6,5,4,4,4,3
"61640",3,5,2,2,1,5,5,5,5,5,4,3,3,6,5,5,3,5,5,4,5,5,5,5,2
"61643",3,3,6,6,3,5,5,5,4,2,6,6,6,6,4,3,2,3,2,2,6,1,6,3,5
"61650",3,6,6,2,5,4,4,4,3,3,6,5,5,5,5,3,3,3,3,2,5,6,5,6,4
"61651",2,5,5,4,5,5,5,5,3,4,5,5,4,6,6,1,2,2,3,3,5,6,4,5,3
"61653",3,4,5,4,3,5,4,5,3,1,6,5,4,5,5,2,1,2,2,5,4,5,2,4,5
"61654",3,4,6,5,5,1,1,1,2,1,6,6,4,5,6,2,2,2,6,6,4,6,5,3,5
"61656",2,4,2,1,2,4,6,5,2,3,4,4,5,5,4,6,4,4,5,6,6,6,3,2,3
"61659",6,6,6,1,5,5,4,4,5,4,6,5,4,3,4,5,2,2,3,1,5,6,6,6,5
"61661",6,5,6,5,6,4,3,2,3,2,5,6,2,5,2,5,5,5,5,5,6,6,5,5,5
"61664",5,6,5,6,5,3,5,6,4,1,5,5,4,6,6,3,3,3,1,1,6,6,5,6,6
"61667",3,5,5,6,5,5,5,4,6,6,4,5,5,5,6,5,4,4,6,6,6,5,5,6,5
